Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
Honda Vezel 1.5A X Honda Sensing,SUV,2015-10-14,4yrs 4mths 7days COE left),10310,50000,682,31237,56001,1496,1190,2015,Auto,19775,9775,96,2,49800,1587,52.233333333333334,Honda
Suzuki Swift Sport 1.6M (COE till 12/2022),Hatchback,2007-12-28,1yr 6mths 21days COE left),8210,203000,1030,6656,21349,1586,1060,2007,Manual,12154,13370,92,2,12800,566,18.7,Suzuki
Porsche 718 Cayman 2.0A PDK,Sports Car,2017-07-19,6yrs 1mth 12days COE left),34200,21000,1200,106829,50110,1988,1365,2017,Auto,71979,101563,220,1,259988,2232,73.4,Porsche
Hyundai Elantra 1.6A Elite,Mid-Sized Sedan,2014-11-14,3yrs 5mths 7days COE left),11010,35000,738,31339,64900,1591,1292,2014,Auto,13856,13856,97,1,44800,1252,41.233333333333334,Hyundai
Kia Cerato 1.6A GT Line Sunroof,Mid-Sized Sedan,2019-07-04,8yrs 27days COE left),9450,21200,738,38416,30009,1591,1287,2018,Auto,18894,18894,93,1,85800,2947,96.9,Kia
BMW 3 Series 320i,Luxury Sedan,2012-12-05,1yr 5mths 28days COE left),17610,170000,1210,33118,86889,1997,1420,2012,Auto,38514,38514,135,2,45600,543,17.933333333333334,BMW
Mitsubishi Lancer EX 2.0A GLS (COE till 03/2028),Mid-Sized Sedan,2008-03-28,6yrs 9mths 21days COE left),7470,251000,1694,30648,44998,1998,1427,2007,Auto,17722,17722,114,2,50900,2481,81.7,Mitsubishi
Mercedes-Benz E-Class E250 Edition E Sunroof,Luxury Sedan,2016-02-29,4yrs 8mths 22days COE left),18450,84000,1202,70842,50089,1991,1680,2015,Auto,52959,67327,155,2,120999,1722,56.733333333333334,Mercedes-Benz
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2015-05-14,3yrs 11mths 7days COE left),18550,98000,740,47541,68668,1595,1425,2015,Auto,35392,31549,115,1,88800,1432,47.233333333333334,Mercedes-Benz
Audi S5 Sportback 3.0A TFSI Quattro (COE till 11/2030),Sports Car,2010-11-25,9yrs 5mths 18days COE left),11280,105000,2618,37909,40014,2995,1755,2010,Auto,64519,64519,245,5,106888,3453,113.6,Audi
Mazda 3 1.5A Deluxe,Mid-Sized Sedan,2015-10-20,4yrs 4mths 13days COE left),10100,108138,682,34406,57498,1496,1321,2015,Auto,18235,13235,88,1,50800,1593,52.43333333333333,Mazda
Toyota Sienta 1.5A Standard,MPV,2018-12-10,7yrs 6mths 3days COE left),9310,29339,682,32480,25556,1496,1325,2018,Auto,17699,17699,79,1,78800,2738,90.1,Toyota
Toyota Sienta 1.5A G LED,MPV,2017-09-29,6yrs 3mths 22days COE left),10720,49000,682,36490,44002,1496,1320,2016,Auto,21145,11603,80,1,73500,2302,75.73333333333333,Toyota
Honda Stream 1.8A X (COE till 12/2028),MPV,2008-12-19,7yrs 6mths 12days COE left),6340,142000,1271,23790,31553,1799,1350,2008,Auto,17982,17982,103,4,47800,2747,90.4,Honda
Mazda 3 1.5A Sunroof,Mid-Sized Sedan,2014-12-26,3yrs 6mths 19days COE left),10690,102000,682,26681,65889,1496,1339,2014,Auto,14208,5000,88,2,40500,1294,42.63333333333333,Mazda
BMW 3 Series 318i Sport,Luxury Sedan,2016-07-07,5yrs 1mth  COE left),14440,65800,684,49546,55100,1499,1425,2016,Auto,29816,28743,100,1,87800,1855,61.0,BMW
Audi A3 Sedan 1.0A TFSI S-tronic,Luxury Sedan,2017-01-20,5yrs 7mths 13days COE left),11500,90000,392,40968,50889,999,1280,2016,Auto,24614,16460,85,2,72888,2048,67.43333333333334,Audi
BMW 5 Series 520i Luxury,Luxury Sedan,2019-11-13,8yrs 5mths 6days COE left),19620,26339,1210,83562,40009,1998,1530,2019,Auto,52437,66387,135,1,198800,3076,101.2,BMW
BMW M Series X3 M40i,SUV,2020-08-06,9yrs 1mth 30days COE left),28220,14000,2384,110552,37102,2998,1845,2020,Auto,72244,102040,285,1,309800,3345,110.0,BMW
BMW 3 Series 335i M-Sport Sunroof (COE till 02/2028),Luxury Sedan,2008-03-13,6yrs 8mths 23days COE left),11260,133000,3307,34074,50578,2979,1535,2007,Manual,66046,66046,225,1,75888,2453,80.76666666666667,BMW
Mercedes-Benz A-Class A200 AMG Line,Hatchback,2019-06-20,8yrs 13days COE left),14490,22500,586,60868,39728,1332,1375,2019,Auto,33259,38563,120,2,135800,2933,96.43333333333334,Mercedes-Benz
Honda Civic 1.5A VTEC Turbo Sunroof,Mid-Sized Sedan,2016-10-07,5yrs 4mths  COE left),12750,80000,684,48059,57010,1498,1324,2016,Auto,26078,23510,127,1,79800,1945,64.0,Honda
BMW X4 xDrive30i M-Sport,SUV,2020-10-19,9yrs 4mths 12days COE left),23840,5072,1210,91488,40790,1998,1750,2020,Auto,59276,78697,185,1,262800,3417,112.4,BMW
BMW 2 Series 216i Gran Tourer Sport,MPV,2019-04-26,7yrs 10mths 19days COE left),12660,49317,684,49819,29159,1499,1490,2019,Auto,31249,35749,80,1,117800,2874,94.63333333333334,BMW
Mitsubishi Attrage 1.2A,Mid-Sized Sedan,2015-10-12,4yrs 4mths 5days COE left),8500,48752,506,28516,57498,1193,940,2015,Auto,13062,5000,57,1,39500,1585,52.166666666666664,Mitsubishi
BMW X3 xDrive30i xLine,SUV,2020-09-11,9yrs 3mths 4days COE left),22190,5366,1210,81505,38110,1998,1745,2020,Auto,53451,68212,185,1,239800,3379,111.13333333333334,BMW
Toyota Vios 1.5A E (COE till 12/2029),Mid-Sized Sedan,2010-01-13,8yrs 6mths 25days COE left),5830,101300,821,27421,31976,1497,1095,2009,Auto,12717,12717,80,4,49988,3125,102.83333333333333,Toyota
Audi A3 Sedan 1.4A TFSI CoD S-tronic,Luxury Sedan,2018-11-15,7yrs 5mths 8days COE left),11460,66041,624,42780,32302,1395,1320,2018,Auto,23548,24968,110,1,97800,2713,89.26666666666667,Audi
Honda Shuttle 1.5A G,Stationwagon,2016-08-05,5yrs 1mth 29days COE left),10140,63584,682,32162,52301,1496,1130,2015,Auto,16869,6869,97,4,55800,1884,61.96666666666667,Honda
Volkswagen Jetta GP 1.4A TSI,Mid-Sized Sedan,2015-07-31,4yrs 1mth 24days COE left),9170,65023,620,35451,55889,1390,1417,2015,Auto,17505,17505,90,1,46800,1514,49.8,Volkswagen
BMW X2 sDrive20i M-Sport X,SUV,2018-08-07,7yrs 2mths  COE left),16160,34503,1210,59155,32551,1998,1460,2018,Auto,39816,47743,141,1,139800,2615,86.0,BMW
Toyota Harrier 2.0A Elegance,SUV,2017-03-20,5yrs 9mths 13days COE left),13090,83254,1196,50616,53300,1986,1580,2016,Auto,28119,26367,111,2,88900,2108,69.43333333333334,Toyota
Nissan Qashqai 2.0A Premium Moonroof,SUV,2016-05-16,4yrs 11mths 9days COE left),10090,55000,1210,37164,47000,1997,1379,2016,Auto,19906,19906,106,3,59800,1799,59.3,Nissan
Lexus IS Turbo IS200t Executive,Luxury Sedan,2017-12-14,6yrs 6mths 7days COE left),15590,61000,1210,68175,53711,1998,1620,2017,Auto,37274,44184,180,1,123800,2377,78.23333333333333,Lexus
Audi A6 2.0A TFSI MU (COE till 02/2029),Luxury Sedan,2009-02-11,7yrs 8mths 4days COE left),7280,176000,1552,24549,31933,1984,1550,2008,Auto,44257,44257,125,6,56000,2799,92.13333333333334,Audi
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2018-03-07,6yrs 9mths  COE left),15510,69000,740,61912,42661,1595,1425,2017,Auto,37239,44135,115,2,126800,2460,81.0,Mercedes-Benz
Nissan Qashqai 1.2A DIG-T Premium,SUV,2016-08-31,5yrs 2mths 24days COE left),10280,82687,508,37863,52301,1197,1285,2016,Auto,18974,13974,85,2,60800,1909,62.8,Nissan
Audi Q5 2.0A TFSI Quattro,SUV,2016-04-25,4yrs 10mths 18days COE left),15790,87000,1194,54838,49602,1984,1845,2016,Auto,36946,43725,132,1,98999,1778,58.6,Audi
Toyota Rav4 2.0A Premium,SUV,2020-11-13,9yrs 5mths 6days COE left),12670,3708,1198,62371,39000,1987,1530,2020,Auto,30048,34068,127,1,136666,3441,113.2,Toyota
BMW M Series M850i Coupe xDrive,Sports Car,2020-09-30,9yrs 3mths 23days COE left),46800,4500,4568,192054,40989,4395,1890,2018,Auto,129518,205133,390,1,538800,3398,111.76666666666667,BMW
Toyota Harrier 2.0A M-Grade Turbo,SUV,2020-07-14,9yrs 1mth 7days COE left),13640,13000,1210,59033,35889,1998,1695,2019,Auto,30808,35132,170,1,141800,3322,109.23333333333333,Toyota
Lexus UX200 Luxury,SUV,2018-12-28,7yrs 6mths 21days COE left),13380,37000,1198,57358,31001,1987,1485,2018,Auto,38007,45210,127,2,123800,2756,90.7,Lexus
Opel Astra 1.0A Turbo,Hatchback,2016-09-19,5yrs 3mths 12days COE left),9130,99309,392,30985,51506,999,1188,2016,Auto,19378,5000,77,2,50800,1927,63.4,Opel
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2015-05-22,3yrs 11mths 15days COE left),16950,70000,740,51387,78001,1595,1425,2015,Auto,35392,31549,115,1,82888,1440,47.5,Mercedes-Benz
Honda HR-V 1.5A LX,SUV,2018-08-17,7yrs 2mths 10days COE left),9590,42254,682,39851,32699,1496,1190,2018,Auto,21245,21743,96,1,79888,2625,86.33333333333333,Honda
